module,live_composer_version,local_composer_version,versions_match
2tvenom/cborencode,1.0.2,1.0.2,True
aheadworks/module-afptc,1.8.0,1.8.0,True
aheadworks/module-afptc-klarna,1.0.0,1.0.0,True
allure-framework/allure-codeception,1.5.2,1.5.2,True
allure-framework/allure-php-api,1.4.0,1.5.0,False
allure-framework/allure-phpunit,1.5.0,1.5.0,True
amasty/amp,1.3.10,1.3.10,True
amasty/base,1.14.6,1.16.0,False
amasty/cron-schedule-list,1.0.6,1.0.7,False
amasty/image-optimizer-speed-size,2.0.1,2.0.1,True
amasty/module-advanced-conditions,1.5.7,1.5.10,False
amasty/module-elastic-search,1.16.1,2.2.0,False
amasty/module-elastic-search-pro,1.16.1,1.18.0,False
amasty/module-facebook-pixel,1.1.3,1.1.5,False
amasty/module-facebook-pixel-lite,1.0.1,1.1.0,False
amasty/module-image-optimizer,2.0.2,2.1.0,False
amasty/module-image-optimizer-ui,2.0.2,2.1.0,False
amasty/module-lazy-load,2.0.2,2.2.0,False
amasty/module-lazy-load-ui,1.0.3,1.0.4,False
amasty/module-optimizer-pro,3.0.2,3.4.0,False
amasty/module-page-speed-optimizer,2.2.5,2.2.6,False
amasty/module-page-speed-tools,2.0.0,2.1.0,False
amasty/module-shipping-suite,1.1.2,1.3.0,False
amasty/module-shippingarea,1.0.7,1.0.10,False
amasty/mostviewed,2.14.0,2.19.0,False
amasty/shippingtablerates,1.10.7,1.13.0,False
amasty/shiprestriction,2.6.3,2.10.0,False
amasty/shiprules,2.8.4,2.11.0,False
amasty/stockstatus,2.4.0,2.5.3,False
amasty/system-common-rules,2.4.12,2.5.1,False
amasty/xnotif,1.14.4,1.16.0,False
amasty/xsearch,1.18.4,1.23.1,False
amzn/amazon-pay-and-login-magento-2-module,4.2.2,4.2.2,True
amzn/amazon-pay-and-login-with-amazon-core-module,4.2.2,4.2.2,True
amzn/amazon-pay-module,4.2.2,4.2.2,True
amzn/amazon-pay-sdk-php,3.7.1,3.7.1,True
amzn/login-with-amazon-module,4.2.2,4.2.2,True
astock/stock-api-libphp,1.1.4,1.1.4,True
avalara/avatax-magento,2.5.2,2.6.0,False
avalara/avataxclient,23.5.0,23.11.0,False
aws/aws-crt-php,v1.0.4,v1.2.6,False
aws/aws-sdk-php,3.261.8,3.316.2,False
bacon/bacon-qr-code,2.0.8,2.0.8,True
beberlei/assert,v3.3.2,v3.3.2,True
behat/gherkin,v4.9.0,v4.9.0,True
braintree/braintree_php,5.2.0,5.2.0,True
brick/math,0.9.3,0.9.3,True
brick/varexporter,0.3.8,0.3.8,True
christian-riesen/base32,1.6.0,1.6.0,True
codeception/codeception,4.1.31,4.1.31,True
codeception/lib-asserts,1.13.2,1.13.2,True
codeception/module-asserts,1.3.1,1.3.1,True
codeception/module-sequence,1.0.1,1.0.1,True
codeception/module-webdriver,1.4.1,1.4.1,True
codeception/phpunit-wrapper,9.0.9,9.0.9,True
codeception/stub,4.0.2,4.0.2,True
colinmollenhour/cache-backend-file,v1.4.5,v1.4.8,False
colinmollenhour/cache-backend-redis,1.11.0,1.11.0,True
colinmollenhour/credis,1.11.1,1.11.1,True
colinmollenhour/php-redis-session-abstract,v1.4.7,v1.4.7,True
composer/ca-bundle,1.3.5,1.5.1,False
composer/composer,1.10.26,1.10.27,False
composer/semver,1.7.2,1.7.2,True
composer/spdx-licenses,1.5.7,1.5.8,False
composer/xdebug-handler,1.4.6,1.4.6,True
csharpru/vault-php,4.3.1,4.4.0,False
csharpru/vault-php-guzzle6-transport,2.0.4,2.0.4,True
dasprid/enum,1.0.4,1.0.5,False
dealerdirect/phpcodesniffer-composer-installer,v0.7.2,v0.7.2,True
doctrine/annotations,1.14.3,1.14.3,True
doctrine/deprecations,v1.0.0,1.1.3,False
doctrine/instantiator,1.5.0,1.5.0,True
doctrine/lexer,2.1.0,2.1.1,False
donatj/phpuseragentparser,v0.22.0,v0.23.0,False
dotmailer/dotmailer-magento2-extension,4.12.0,4.12.0,True
dotmailer/dotmailer-magento2-extension-chat,1.5.0,1.5.0,True
dotmailer/dotmailer-magento2-extension-chat-graph-ql,1.0.0,1.0.0,True
dotmailer/dotmailer-magento2-extension-graph-ql,1.0.0,1.0.0,True
dotmailer/dotmailer-magento2-extension-package,4.12.0,4.12.0,True
dotmailer/dotmailer-magento2-extension-sms,1.2.0,1.2.0,True
elasticsearch/elasticsearch,v7.11.0,v7.11.0,True
endroid/qr-code,3.9.7,3.9.7,True
ezimuel/guzzlestreams,3.1.0,3.1.0,True
ezimuel/ringphp,1.2.2,1.2.2,True
fgrosse/phpasn1,v2.5.0,v2.5.0,True
friendsofphp/php-cs-fixer,v2.18.7,v2.18.7,True
google/recaptcha,1.2.4,1.2.4,True
guzzlehttp/guzzle,6.5.8,6.5.8,True
guzzlehttp/promises,1.5.3,1.5.3,True
guzzlehttp/psr7,1.9.1,1.9.1,True
hoa/consistency,1.17.05.02,1.17.05.02,True
hoa/console,3.17.05.02,3.17.05.02,True
hoa/event,1.17.01.13,1.17.01.13,True
hoa/exception,1.17.01.16,1.17.01.16,True
hoa/file,1.17.07.11,1.17.07.11,True
hoa/iterator,2.17.01.10,2.17.01.10,True
hoa/protocol,1.17.01.14,1.17.01.14,True
hoa/stream,1.17.02.21,1.17.02.21,True
hoa/ustring,4.17.01.16,4.17.01.16,True
hp/subcategorythumbnails,2.3.1,2.3.1,True
jms/metadata,2.8.0,2.8.0,True
jms/serializer,3.23.0,3.30.0,False
justinrainbow/json-schema,5.2.12,5.3.0,False
khanamiryan/qrcode-detector-decoder,1.0.6,1.0.6,True
klarna/m2-payments,8.3.6,8.3.6,True
klarna/module-core,6.2.4,6.2.4,True
klarna/module-kp,7.3.7,7.3.7,True
klarna/module-kp-graph-ql,0.9.7,0.9.7,True
klarna/module-onsitemessaging,1.0.6,1.0.6,True
klarna/module-ordermanagement,6.2.5,6.2.5,True
klaviyo/magento2-extension,4.1.3,4.1.4,False
laminas/laminas-captcha,2.12.0,2.12.0,True
laminas/laminas-code,3.5.1,3.5.1,True
laminas/laminas-config,3.7.0,3.7.0,True
laminas/laminas-crypt,3.8.0,3.8.0,True
laminas/laminas-db,2.15.1,2.15.1,True
laminas/laminas-dependency-plugin,2.4.0,2.4.0,True
laminas/laminas-di,3.9.1,3.9.1,True
laminas/laminas-escaper,2.7.0,2.7.0,True
laminas/laminas-eventmanager,3.5.0,3.5.0,True
laminas/laminas-feed,2.14.1,2.14.1,True
laminas/laminas-filter,2.22.0,2.22.0,True
laminas/laminas-http,2.14.3,2.14.3,True
laminas/laminas-i18n,2.14.0,2.14.0,True
laminas/laminas-json,3.3.0,3.3.0,True
laminas/laminas-loader,2.8.0,2.8.0,True
laminas/laminas-mail,2.16.0,2.16.0,True
laminas/laminas-math,3.5.0,3.5.0,True
laminas/laminas-mime,2.10.0,2.10.0,True
laminas/laminas-modulemanager,2.12.0,2.12.0,True
laminas/laminas-mvc,3.2.0,3.2.0,True
laminas/laminas-recaptcha,3.3.1,3.3.1,True
laminas/laminas-router,3.4.5,3.4.5,True
laminas/laminas-serializer,2.13.0,2.13.0,True
laminas/laminas-server,2.11.1,2.11.1,True
laminas/laminas-servicemanager,3.17.0,3.17.0,True
laminas/laminas-session,2.13.0,2.13.0,True
laminas/laminas-soap,2.9.0,2.9.0,True
laminas/laminas-stdlib,3.13.0,3.13.0,True
laminas/laminas-text,2.9.0,2.9.0,True
laminas/laminas-uri,2.8.1,2.8.1,True
laminas/laminas-validator,2.25.0,2.25.0,True
laminas/laminas-view,2.12.1,2.12.1,True
laminas/laminas-zendframework-bridge,1.6.1,1.6.1,True
league/flysystem,2.5.0,2.5.0,True
league/flysystem-aws-s3-v3,2.5.0,2.5.0,True
league/iso3166,2.1.5,2.1.5,True
league/mime-type-detection,1.11.0,1.15.0,False
lusitanian/oauth,v0.8.11,v0.8.11,True
magefan/module-admin-user-guide,2.0.2,2.0.4,False
magefan/module-community,2.1.12,2.1.29,False
magefan/module-zero-downtime-deploy,2.0.15,2.0.18,False
magento/adobe-ims,2.1.2-p1,2.1.2-p1,True
magento/adobe-stock-integration,2.1.2-p3,2.1.2-p3,True
magento/composer,1.6.0,1.6.0,True
magento/composer-dependency-version-audit-plugin,0.1.4,0.1.5,False
magento/composer-root-update-plugin,2.0.2,2.0.4,False
magento/data-migration-tool,2.4.2,2.4.2,True
magento/framework,103.0.3-p3,103.0.3-p3,True
magento/framework-amqp,100.4.1,100.4.1,True
magento/framework-bulk,101.0.0,101.0.0,True
magento/framework-message-queue,100.4.3,100.4.3,True
magento/google-shopping-ads,4.0.1,4.0.1,True
magento/inventory-composer-installer,1.2.0,1.2.0,True
magento/inventory-metapackage,1.2.3-p2,1.2.3-p2,True
magento/language-de_de,100.4.0,100.4.0,True
magento/language-en_us,100.4.0,100.4.0,True
magento/language-es_es,100.4.0,100.4.0,True
magento/language-fr_fr,100.4.0,100.4.0,True
magento/language-nl_nl,100.4.0,100.4.0,True
magento/language-pt_br,100.4.0,100.4.0,True
magento/language-zh_hans_cn,100.4.0,100.4.0,True
magento/magento-coding-standard,6,6,True
magento/magento-composer-installer,0.4.0,0.4.0,True
magento/magento2-base,2.4.3-p3,2.4.3-p3,True
magento/magento2-functional-testing-framework,3.5.1,3.5.1,True
magento/module-admin-analytics,100.4.3-p1,100.4.3-p1,True
magento/module-admin-notification,100.4.2,100.4.2,True
magento/module-adobe-ims,2.1.2,2.1.2,True
magento/module-adobe-ims-api,2.1.0,2.1.0,True
magento/module-adobe-stock-admin-ui,1.3.0-p2,1.3.0-p2,True
magento/module-adobe-stock-asset,1.3.0-p2,1.3.0-p2,True
magento/module-adobe-stock-asset-api,2.0.0-p2,2.0.0-p2,True
magento/module-adobe-stock-client,1.3.1-p2,1.3.1-p2,True
magento/module-adobe-stock-client-api,2.1.0-p2,2.1.0-p2,True
magento/module-adobe-stock-image,1.3.1-p2,1.3.1-p2,True
magento/module-adobe-stock-image-admin-ui,1.3.1-p2,1.3.1-p2,True
magento/module-adobe-stock-image-api,1.3.0-p2,1.3.0-p2,True
magento/module-advanced-pricing-import-export,100.4.3,100.4.3,True
magento/module-advanced-search,100.4.1,100.4.1,True
magento/module-amqp,100.4.1,100.4.1,True
magento/module-amqp-store,100.4.1,100.4.1,True
magento/module-analytics,100.4.3,100.4.3,True
magento/module-asynchronous-operations,100.4.3,100.4.3,True
magento/module-authorization,100.4.3,100.4.3,True
magento/module-aws-s3,100.4.1-p1,100.4.1-p1,True
magento/module-aws-s3-page-builder,1.0.1-p3,1.0.1-p3,True
magento/module-backend,102.0.3,102.0.3,True
magento/module-backup,100.4.3,100.4.3,True
magento/module-bundle,101.0.3,101.0.3,True
magento/module-bundle-graph-ql,100.4.3,100.4.3,True
magento/module-bundle-import-export,100.4.2,100.4.2,True
magento/module-cache-invalidate,100.4.1,100.4.1,True
magento/module-captcha,100.4.3-p1,100.4.3-p1,True
magento/module-cardinal-commerce,100.4.1,100.4.1,True
magento/module-catalog,104.0.3-p3,104.0.3-p3,True
magento/module-catalog-analytics,100.4.1,100.4.1,True
magento/module-catalog-cms-graph-ql,100.4.0,100.4.0,True
magento/module-catalog-customer-graph-ql,100.4.3,100.4.3,True
magento/module-catalog-graph-ql,100.4.3,100.4.3,True
magento/module-catalog-import-export,101.1.3,101.1.3,True
magento/module-catalog-inventory,100.4.3,100.4.3,True
magento/module-catalog-inventory-graph-ql,100.4.0,100.4.0,True
magento/module-catalog-page-builder-analytics,1.6.1-p3,1.6.1-p3,True
magento/module-catalog-rule,101.2.3,101.2.3,True
magento/module-catalog-rule-configurable,100.4.2,100.4.2,True
magento/module-catalog-rule-graph-ql,100.4.1,100.4.1,True
magento/module-catalog-search,102.0.3,102.0.3,True
magento/module-catalog-url-rewrite,100.4.3,100.4.3,True
magento/module-catalog-url-rewrite-graph-ql,100.4.2,100.4.2,True
magento/module-catalog-widget,100.4.3,100.4.3,True
magento/module-checkout,100.4.3-p3,100.4.3-p3,True
magento/module-checkout-agreements,100.4.2,100.4.2,True
magento/module-checkout-agreements-graph-ql,100.4.0,100.4.0,True
magento/module-cms,104.0.3-p1,104.0.3-p1,True
magento/module-cms-graph-ql,100.4.1,100.4.1,True
magento/module-cms-page-builder-analytics,1.6.1-p3,1.6.1-p3,True
magento/module-cms-url-rewrite,100.4.2,100.4.2,True
magento/module-cms-url-rewrite-graph-ql,100.4.1,100.4.1,True
magento/module-compare-list-graph-ql,100.4.0,100.4.0,True
magento/module-config,101.2.3,101.2.3,True
magento/module-configurable-import-export,100.4.1,100.4.1,True
magento/module-configurable-product,100.4.3,100.4.3,True
magento/module-configurable-product-graph-ql,100.4.3,100.4.3,True
magento/module-configurable-product-sales,100.4.1,100.4.1,True
magento/module-contact,100.4.3-p2,100.4.3-p2,True
magento/module-cookie,100.4.3,100.4.3,True
magento/module-cron,100.4.3,100.4.3,True
magento/module-csp,100.4.2-p1,100.4.2-p1,True
magento/module-currency-symbol,100.4.2,100.4.2,True
magento/module-customer,103.0.3-p3,103.0.3-p3,True
magento/module-customer-analytics,100.4.1,100.4.1,True
magento/module-customer-downloadable-graph-ql,100.4.0,100.4.0,True
magento/module-customer-graph-ql,100.4.3,100.4.3,True
magento/module-customer-import-export,100.4.3,100.4.3,True
magento/module-deploy,100.4.3,100.4.3,True
magento/module-developer,100.4.3,100.4.3,True
magento/module-dhl,100.4.2,100.4.2,True
magento/module-directory,100.4.3,100.4.3,True
magento/module-directory-graph-ql,100.4.1,100.4.1,True
magento/module-downloadable,100.4.3,100.4.3,True
magento/module-downloadable-graph-ql,100.4.3,100.4.3,True
magento/module-downloadable-import-export,100.4.2,100.4.2,True
magento/module-eav,102.1.3,102.1.3,True
magento/module-eav-graph-ql,100.4.1,100.4.1,True
magento/module-elasticsearch,101.0.3,101.0.3,True
magento/module-elasticsearch-6,100.4.3,100.4.3,True
magento/module-elasticsearch-7,100.4.3,100.4.3,True
magento/module-email,101.1.3-p2,101.1.3-p2,True
magento/module-encryption-key,100.4.2,100.4.2,True
magento/module-fedex,100.4.2,100.4.2,True
magento/module-gift-message,100.4.2,100.4.2,True
magento/module-gift-message-graph-ql,100.4.1,100.4.1,True
magento/module-google-adwords,100.4.1,100.4.1,True
magento/module-google-analytics,100.4.0,100.4.0,True
magento/module-google-optimizer,100.4.2,100.4.2,True
magento/module-graph-ql,100.4.3-p2,100.4.3-p2,True
magento/module-graph-ql-cache,100.4.0,100.4.0,True
magento/module-grouped-catalog-inventory,100.4.0,100.4.0,True
magento/module-grouped-import-export,100.4.1,100.4.1,True
magento/module-grouped-product,100.4.3,100.4.3,True
magento/module-grouped-product-graph-ql,100.4.3,100.4.3,True
magento/module-import-export,101.0.3,101.0.3,True
magento/module-indexer,100.4.3,100.4.3,True
magento/module-instant-purchase,100.4.2,100.4.2,True
magento/module-integration,100.4.3-p2,100.4.3-p2,True
magento/module-inventory,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-admin-ui,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-advanced-checkout,1.2.0-p2,1.2.0-p2,True
magento/module-inventory-api,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-bundle-import-export,1.1.0-p2,1.1.0-p2,True
magento/module-inventory-bundle-product,1.2.0-p2,1.2.0-p2,True
magento/module-inventory-bundle-product-admin-ui,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-bundle-product-indexer,1.1.0-p2,1.1.0-p2,True
magento/module-inventory-cache,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-catalog,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-catalog-admin-ui,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-catalog-api,1.3.1-p2,1.3.1-p2,True
magento/module-inventory-catalog-frontend-ui,1.0.1-p2,1.0.1-p2,True
magento/module-inventory-catalog-search,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-catalog-search-bundle-product,1.0.0-p2,1.0.0-p2,True
magento/module-inventory-catalog-search-configurable-product,1.0.0-p2,1.0.0-p2,True
magento/module-inventory-configurable-product,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-configurable-product-admin-ui,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-configurable-product-frontend-ui,1.0.1-p2,1.0.1-p2,True
magento/module-inventory-configurable-product-indexer,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-configuration,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-configuration-api,1.2.0-p2,1.2.0-p2,True
magento/module-inventory-distance-based-source-selection,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-distance-based-source-selection-admin-ui,1.2.0-p2,1.2.0-p2,True
magento/module-inventory-distance-based-source-selection-api,1.2.0-p2,1.2.0-p2,True
magento/module-inventory-elasticsearch,1.2.0-p2,1.2.0-p2,True
magento/module-inventory-export-stock,1.2.0-p2,1.2.0-p2,True
magento/module-inventory-export-stock-api,1.2.0-p2,1.2.0-p2,True
magento/module-inventory-graph-ql,1.2.0-p2,1.2.0-p2,True
magento/module-inventory-grouped-product,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-grouped-product-admin-ui,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-grouped-product-indexer,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-import-export,1.2.1-p2,1.2.1-p2,True
magento/module-inventory-in-store-pickup,1.1.0-p2,1.1.0-p2,True
magento/module-inventory-in-store-pickup-admin-ui,1.1.0-p2,1.1.0-p2,True
magento/module-inventory-in-store-pickup-api,1.1.0-p2,1.1.0-p2,True
magento/module-inventory-in-store-pickup-frontend,1.1.1-p2,1.1.1-p2,True
magento/module-inventory-in-store-pickup-graph-ql,1.1.0-p2,1.1.0-p2,True
magento/module-inventory-in-store-pickup-multishipping,1.1.0-p2,1.1.0-p2,True
magento/module-inventory-in-store-pickup-quote,1.1.0-p2,1.1.0-p2,True
magento/module-inventory-in-store-pickup-quote-graph-ql,1.1.0-p2,1.1.0-p2,True
